date	location	variant	sequences	thres
2022-04-10	Germany	Omicron 21L	1	100.0
2022-04-11	Germany	Omicron 21L	9	100.0
2022-04-12	Germany	Omicron 21L	5	100.0
2022-04-13	Germany	Omicron 21L	5	100.0
2022-04-14	Germany	Omicron 21L	4	100.0
2022-04-15	Germany	Omicron 21L	2	100.0
2022-04-16	Germany	Omicron 21L	1	100.0
2022-04-18	Germany	Omicron 21L	3	100.0
2022-04-19	Germany	Omicron 21L	7	100.0
2022-04-20	Germany	Omicron 21L	3	100.0
2022-04-21	Germany	Omicron 21L	7	100.0
2022-04-22	Germany	Omicron 21L	5	100.0
2022-04-23	Germany	Omicron 21L	2	100.0
2022-04-24	Germany	Omicron 21L	3	100.0
2022-04-25	Germany	Omicron 21L	9	100.0
2022-04-26	Germany	Omicron 21L	7	100.0
2022-04-27	Germany	Omicron 21L	7	100.0
2022-04-28	Germany	Omicron 21L	5	100.0
2022-04-29	Germany	Omicron 21L	3	100.0
2022-04-30	Germany	Omicron 21L	7	100.0
2022-05-01	Germany	Omicron 21L	3	100.0
2022-05-02	Germany	Omicron 21L	9	100.0
2022-05-03	Germany	Omicron 21L	11	100.0
2022-05-04	Germany	Omicron 21L	4	100.0
2022-05-05	Germany	Omicron 21L	5	100.0
2022-05-06	Germany	Omicron 21L	5	100.0
2022-05-07	Germany	Omicron 21L	4	100.0
2022-05-09	Germany	Omicron 21L	7	100.0
2022-05-10	Germany	Omicron 21L	6	100.0
2022-05-11	Germany	Omicron 21L	9	100.0
2022-05-12	Germany	Omicron 21L	7	100.0
2022-05-13	Germany	Omicron 21L	7	100.0
2022-05-14	Germany	Omicron 21L	6	100.0
2022-05-15	Germany	Omicron 21L	3	100.0
2022-05-16	Germany	Omicron 21L	12	100.0
2022-05-17	Germany	Omicron 21L	10	100.0
2022-05-18	Germany	Omicron 21L	4	100.0
2022-05-19	Germany	Omicron 21L	4	100.0
2022-05-20	Germany	Omicron 21L	5	100.0
2022-05-21	Germany	Omicron 21L	6	100.0
2022-05-22	Germany	Omicron 21L	3	100.0
2022-05-23	Germany	Omicron 21L	14	100.0
2022-05-24	Germany	Omicron 21L	9	100.0
2022-05-25	Germany	Omicron 21L	5	100.0
2022-05-26	Germany	Omicron 21L	3	100.0
2022-05-27	Germany	Omicron 21L	11	100.0
2022-05-28	Germany	Omicron 21L	6	100.0
2022-05-29	Germany	Omicron 21L	3	100.0
2022-05-30	Germany	Omicron 21L	9	100.0
2022-05-31	Germany	Omicron 21L	6	100.0
2022-06-01	Germany	Omicron 21L	3	100.0
2022-06-02	Germany	Omicron 21L	4	100.0
2022-06-03	Germany	Omicron 21L	5	100.0
2022-06-04	Germany	Omicron 21L	2	100.0
2022-06-05	Germany	Omicron 21L	2	100.0
2022-06-06	Germany	Omicron 21L	1	100.0
2022-06-07	Germany	Omicron 21L	3	100.0
2022-06-08	Germany	Omicron 21L	2	100.0
2022-06-11	Germany	Omicron 21L	2	100.0
2022-06-12	Germany	Omicron 21L	1	100.0
2022-06-15	Germany	Omicron 21L	1	100.0
2022-04-28	Germany	Omicron 22A	1	100.0
2022-05-23	Germany	Omicron 22A	1	100.0
2022-05-24	Germany	Omicron 22A	1	100.0
2022-05-27	Germany	Omicron 22A	1	100.0
2022-05-30	Germany	Omicron 22A	1	100.0
2022-06-09	Germany	Omicron 22A	1	100.0
2022-05-08	Germany	Omicron 22B	1	100.0
2022-05-10	Germany	Omicron 22B	2	100.0
2022-05-12	Germany	Omicron 22B	1	100.0
2022-05-16	Germany	Omicron 22B	2	100.0
2022-05-17	Germany	Omicron 22B	2	100.0
2022-05-18	Germany	Omicron 22B	1	100.0
2022-05-20	Germany	Omicron 22B	2	100.0
2022-05-21	Germany	Omicron 22B	1	100.0
2022-05-22	Germany	Omicron 22B	1	100.0
2022-05-23	Germany	Omicron 22B	1	100.0
2022-05-24	Germany	Omicron 22B	1	100.0
2022-05-25	Germany	Omicron 22B	2	100.0
2022-05-27	Germany	Omicron 22B	1	100.0
2022-05-29	Germany	Omicron 22B	1	100.0
2022-05-30	Germany	Omicron 22B	1	100.0
2022-05-31	Germany	Omicron 22B	4	100.0
2022-06-01	Germany	Omicron 22B	1	100.0
2022-06-02	Germany	Omicron 22B	5	100.0
2022-06-03	Germany	Omicron 22B	2	100.0
2022-06-04	Germany	Omicron 22B	1	100.0
2022-06-07	Germany	Omicron 22B	4	100.0
2022-06-08	Germany	Omicron 22B	5	100.0
2022-06-09	Germany	Omicron 22B	3	100.0
2022-06-13	Germany	Omicron 22B	1	100.0
2022-06-14	Germany	Omicron 22B	1	100.0
2022-06-15	Germany	Omicron 22B	1	100.0
2022-05-16	Germany	Omicron 22C	1	100.0
2022-05-18	Germany	Omicron 22C	1	100.0
2022-05-19	Germany	Omicron 22C	1	100.0
2022-05-27	Germany	Omicron 22C	2	100.0
2022-05-30	Germany	Omicron 22C	1	100.0
2022-06-06	Germany	Omicron 22C	2	100.0
2022-04-26	Germany	other	1	100.0
2022-04-27	Germany	other	1	100.0
2022-05-19	Germany	other	1	100.0
2022-03-22	United Kingdom	Omicron 21K	1	100.0
2022-03-24	United Kingdom	Omicron 21K	1	100.0
2022-03-25	United Kingdom	Omicron 21K	1	100.0
2022-03-26	United Kingdom	Omicron 21K	1	100.0
2022-03-28	United Kingdom	Omicron 21K	1	100.0
2022-03-30	United Kingdom	Omicron 21K	1	100.0
2022-04-04	United Kingdom	Omicron 21K	1	100.0
2022-04-06	United Kingdom	Omicron 21K	1	100.0
2022-04-10	United Kingdom	Omicron 21K	1	100.0
2022-04-11	United Kingdom	Omicron 21K	1	100.0
2022-05-05	United Kingdom	Omicron 21K	1	100.0
2022-03-20	United Kingdom	Omicron 21L	5	100.0
2022-03-21	United Kingdom	Omicron 21L	8	100.0
2022-03-22	United Kingdom	Omicron 21L	10	100.0
2022-03-23	United Kingdom	Omicron 21L	10	100.0
2022-03-24	United Kingdom	Omicron 21L	17	100.0
2022-03-25	United Kingdom	Omicron 21L	11	100.0
2022-03-26	United Kingdom	Omicron 21L	8	100.0
2022-03-27	United Kingdom	Omicron 21L	5	100.0
2022-03-28	United Kingdom	Omicron 21L	16	100.0
2022-03-29	United Kingdom	Omicron 21L	9	100.0
2022-03-30	United Kingdom	Omicron 21L	7	100.0
2022-03-31	United Kingdom	Omicron 21L	4	100.0
2022-04-01	United Kingdom	Omicron 21L	3	100.0
2022-04-02	United Kingdom	Omicron 21L	4	100.0
2022-04-03	United Kingdom	Omicron 21L	5	100.0
2022-04-04	United Kingdom	Omicron 21L	13	100.0
2022-04-05	United Kingdom	Omicron 21L	4	100.0
2022-04-06	United Kingdom	Omicron 21L	5	100.0
2022-04-07	United Kingdom	Omicron 21L	7	100.0
2022-04-08	United Kingdom	Omicron 21L	6	100.0
2022-04-09	United Kingdom	Omicron 21L	2	100.0
2022-04-10	United Kingdom	Omicron 21L	7	100.0
2022-04-11	United Kingdom	Omicron 21L	8	100.0
2022-04-12	United Kingdom	Omicron 21L	7	100.0
2022-04-13	United Kingdom	Omicron 21L	8	100.0
2022-04-14	United Kingdom	Omicron 21L	7	100.0
2022-04-15	United Kingdom	Omicron 21L	8	100.0
2022-04-16	United Kingdom	Omicron 21L	6	100.0
2022-04-17	United Kingdom	Omicron 21L	5	100.0
2022-04-18	United Kingdom	Omicron 21L	3	100.0
2022-04-19	United Kingdom	Omicron 21L	13	100.0
2022-04-20	United Kingdom	Omicron 21L	9	100.0
2022-04-21	United Kingdom	Omicron 21L	6	100.0
2022-04-22	United Kingdom	Omicron 21L	5	100.0
2022-04-23	United Kingdom	Omicron 21L	6	100.0
2022-04-24	United Kingdom	Omicron 21L	3	100.0
2022-04-25	United Kingdom	Omicron 21L	11	100.0
2022-04-26	United Kingdom	Omicron 21L	8	100.0
2022-04-27	United Kingdom	Omicron 21L	5	100.0
2022-04-28	United Kingdom	Omicron 21L	2	100.0
2022-04-29	United Kingdom	Omicron 21L	3	100.0
2022-04-30	United Kingdom	Omicron 21L	6	100.0
2022-05-01	United Kingdom	Omicron 21L	1	100.0
2022-05-02	United Kingdom	Omicron 21L	2	100.0
2022-05-03	United Kingdom	Omicron 21L	9	100.0
2022-05-04	United Kingdom	Omicron 21L	4	100.0
2022-05-05	United Kingdom	Omicron 21L	6	100.0
2022-05-06	United Kingdom	Omicron 21L	7	100.0
2022-05-07	United Kingdom	Omicron 21L	4	100.0
2022-05-09	United Kingdom	Omicron 21L	5	100.0
2022-05-10	United Kingdom	Omicron 21L	4	100.0
2022-05-11	United Kingdom	Omicron 21L	5	100.0
2022-05-12	United Kingdom	Omicron 21L	7	100.0
2022-05-13	United Kingdom	Omicron 21L	4	100.0
2022-05-14	United Kingdom	Omicron 21L	4	100.0
2022-05-15	United Kingdom	Omicron 21L	1	100.0
2022-05-16	United Kingdom	Omicron 21L	3	100.0
2022-05-17	United Kingdom	Omicron 21L	10	100.0
2022-05-18	United Kingdom	Omicron 21L	3	100.0
2022-05-19	United Kingdom	Omicron 21L	1	100.0
2022-05-20	United Kingdom	Omicron 21L	3	100.0
2022-05-21	United Kingdom	Omicron 21L	1	100.0
2022-05-23	United Kingdom	Omicron 21L	2	100.0
2022-05-24	United Kingdom	Omicron 21L	7	100.0
2022-05-25	United Kingdom	Omicron 21L	1	100.0
2022-05-27	United Kingdom	Omicron 21L	3	100.0
2022-05-30	United Kingdom	Omicron 21L	2	100.0
2022-05-31	United Kingdom	Omicron 21L	3	100.0
2022-06-01	United Kingdom	Omicron 21L	4	100.0
2022-06-02	United Kingdom	Omicron 21L	2	100.0
2022-06-04	United Kingdom	Omicron 21L	3	100.0
2022-06-06	United Kingdom	Omicron 21L	2	100.0
2022-06-07	United Kingdom	Omicron 21L	3	100.0
2022-06-08	United Kingdom	Omicron 21L	2	100.0
2022-06-10	United Kingdom	Omicron 21L	3	100.0
2022-06-11	United Kingdom	Omicron 21L	1	100.0
2022-06-12	United Kingdom	Omicron 21L	1	100.0
2022-06-14	United Kingdom	Omicron 21L	1	100.0
2022-06-15	United Kingdom	Omicron 21L	1	100.0
2022-06-16	United Kingdom	Omicron 21L	1	100.0
2022-06-17	United Kingdom	Omicron 21L	2	100.0
2022-05-04	United Kingdom	Omicron 22A	1	100.0
2022-05-06	United Kingdom	Omicron 22A	1	100.0
2022-05-13	United Kingdom	Omicron 22A	1	100.0
2022-05-18	United Kingdom	Omicron 22A	1	100.0
2022-05-21	United Kingdom	Omicron 22A	1	100.0
2022-06-03	United Kingdom	Omicron 22A	2	100.0
2022-06-04	United Kingdom	Omicron 22A	4	100.0
2022-06-06	United Kingdom	Omicron 22A	1	100.0
2022-06-07	United Kingdom	Omicron 22A	1	100.0
2022-06-08	United Kingdom	Omicron 22A	1	100.0
2022-06-09	United Kingdom	Omicron 22A	4	100.0
2022-06-10	United Kingdom	Omicron 22A	1	100.0
2022-06-11	United Kingdom	Omicron 22A	1	100.0
2022-06-14	United Kingdom	Omicron 22A	2	100.0
2022-06-17	United Kingdom	Omicron 22A	2	100.0
2022-05-18	United Kingdom	Omicron 22B	1	100.0
2022-05-20	United Kingdom	Omicron 22B	1	100.0
2022-05-21	United Kingdom	Omicron 22B	1	100.0
2022-05-24	United Kingdom	Omicron 22B	1	100.0
2022-05-25	United Kingdom	Omicron 22B	1	100.0
2022-06-01	United Kingdom	Omicron 22B	1	100.0
2022-06-03	United Kingdom	Omicron 22B	1	100.0
2022-06-05	United Kingdom	Omicron 22B	1	100.0
2022-06-06	United Kingdom	Omicron 22B	3	100.0
2022-06-08	United Kingdom	Omicron 22B	4	100.0
2022-06-09	United Kingdom	Omicron 22B	2	100.0
2022-06-10	United Kingdom	Omicron 22B	3	100.0
2022-06-11	United Kingdom	Omicron 22B	3	100.0
2022-06-12	United Kingdom	Omicron 22B	2	100.0
2022-06-13	United Kingdom	Omicron 22B	1	100.0
2022-06-14	United Kingdom	Omicron 22B	2	100.0
2022-06-15	United Kingdom	Omicron 22B	2	100.0
2022-06-16	United Kingdom	Omicron 22B	2	100.0
2022-06-17	United Kingdom	Omicron 22B	5	100.0
2022-05-01	United Kingdom	Omicron 22C	1	100.0
2022-05-03	United Kingdom	Omicron 22C	1	100.0
2022-05-26	United Kingdom	Omicron 22C	1	100.0
2022-06-01	United Kingdom	Omicron 22C	1	100.0
2022-06-05	United Kingdom	Omicron 22C	1	100.0
2022-06-06	United Kingdom	Omicron 22C	2	100.0
2022-06-08	United Kingdom	Omicron 22C	1	100.0
2022-06-09	United Kingdom	Omicron 22C	1	100.0
2022-06-11	United Kingdom	Omicron 22C	1	100.0
2022-06-12	United Kingdom	Omicron 22C	1	100.0
2022-06-15	United Kingdom	Omicron 22C	1	100.0
2022-06-16	United Kingdom	Omicron 22C	1	100.0
2022-03-28	United Kingdom	other	1	100.0
2022-04-04	United Kingdom	other	1	100.0
2022-04-11	United Kingdom	other	1	100.0
2022-05-09	United Kingdom	other	1	100.0
2022-03-20	Denmark	Omicron 21K	2	500.0
2022-03-29	Denmark	Omicron 21K	1	500.0
2022-03-30	Denmark	Omicron 21K	1	500.0
2022-05-19	Denmark	Omicron 21K	1	500.0
2022-06-13	Denmark	Omicron 21K	1	500.0
2022-03-20	Denmark	Omicron 21L	10	500.0
2022-03-21	Denmark	Omicron 21L	18	500.0
2022-03-22	Denmark	Omicron 21L	11	500.0
2022-03-23	Denmark	Omicron 21L	4	500.0
2022-03-24	Denmark	Omicron 21L	5	500.0
2022-03-25	Denmark	Omicron 21L	9	500.0
2022-03-26	Denmark	Omicron 21L	13	500.0
2022-03-27	Denmark	Omicron 21L	9	500.0
2022-03-28	Denmark	Omicron 21L	21	500.0
2022-03-29	Denmark	Omicron 21L	12	500.0
2022-03-30	Denmark	Omicron 21L	20	500.0
2022-03-31	Denmark	Omicron 21L	13	500.0
2022-04-01	Denmark	Omicron 21L	19	500.0
2022-04-02	Denmark	Omicron 21L	6	500.0
2022-04-03	Denmark	Omicron 21L	15	500.0
2022-04-04	Denmark	Omicron 21L	29	500.0
2022-04-05	Denmark	Omicron 21L	23	500.0
2022-04-06	Denmark	Omicron 21L	18	500.0
2022-04-07	Denmark	Omicron 21L	21	500.0
2022-04-08	Denmark	Omicron 21L	22	500.0
2022-04-09	Denmark	Omicron 21L	9	500.0
2022-04-10	Denmark	Omicron 21L	12	500.0
2022-04-11	Denmark	Omicron 21L	25	500.0
2022-04-12	Denmark	Omicron 21L	15	500.0
2022-04-13	Denmark	Omicron 21L	15	500.0
2022-04-14	Denmark	Omicron 21L	8	500.0
2022-04-15	Denmark	Omicron 21L	10	500.0
2022-04-16	Denmark	Omicron 21L	9	500.0
2022-04-17	Denmark	Omicron 21L	16	500.0
2022-04-18	Denmark	Omicron 21L	15	500.0
2022-04-19	Denmark	Omicron 21L	21	500.0
2022-04-20	Denmark	Omicron 21L	15	500.0
2022-04-21	Denmark	Omicron 21L	6	500.0
2022-04-22	Denmark	Omicron 21L	13	500.0
2022-04-23	Denmark	Omicron 21L	7	500.0
2022-04-24	Denmark	Omicron 21L	3	500.0
2022-04-25	Denmark	Omicron 21L	14	500.0
2022-04-26	Denmark	Omicron 21L	14	500.0
2022-04-27	Denmark	Omicron 21L	15	500.0
2022-04-28	Denmark	Omicron 21L	12	500.0
2022-04-29	Denmark	Omicron 21L	10	500.0
2022-04-30	Denmark	Omicron 21L	11	500.0
2022-05-01	Denmark	Omicron 21L	5	500.0
2022-05-02	Denmark	Omicron 21L	11	500.0
2022-05-03	Denmark	Omicron 21L	18	500.0
2022-05-04	Denmark	Omicron 21L	8	500.0
2022-05-05	Denmark	Omicron 21L	16	500.0
2022-05-06	Denmark	Omicron 21L	17	500.0
2022-05-07	Denmark	Omicron 21L	14	500.0
2022-05-08	Denmark	Omicron 21L	13	500.0
2022-05-09	Denmark	Omicron 21L	13	500.0
2022-05-10	Denmark	Omicron 21L	17	500.0
2022-05-11	Denmark	Omicron 21L	16	500.0
2022-05-12	Denmark	Omicron 21L	12	500.0
2022-05-13	Denmark	Omicron 21L	3	500.0
2022-05-14	Denmark	Omicron 21L	11	500.0
2022-05-15	Denmark	Omicron 21L	12	500.0
2022-05-16	Denmark	Omicron 21L	20	500.0
2022-05-17	Denmark	Omicron 21L	20	500.0
2022-05-18	Denmark	Omicron 21L	13	500.0
2022-05-19	Denmark	Omicron 21L	15	500.0
2022-05-20	Denmark	Omicron 21L	10	500.0
2022-05-21	Denmark	Omicron 21L	14	500.0
2022-05-22	Denmark	Omicron 21L	8	500.0
2022-05-23	Denmark	Omicron 21L	11	500.0
2022-05-24	Denmark	Omicron 21L	9	500.0
2022-05-25	Denmark	Omicron 21L	11	500.0
2022-05-26	Denmark	Omicron 21L	5	500.0
2022-05-27	Denmark	Omicron 21L	5	500.0
2022-05-28	Denmark	Omicron 21L	7	500.0
2022-05-29	Denmark	Omicron 21L	4	500.0
2022-05-30	Denmark	Omicron 21L	20	500.0
2022-05-31	Denmark	Omicron 21L	8	500.0
2022-06-01	Denmark	Omicron 21L	3	500.0
2022-06-02	Denmark	Omicron 21L	5	500.0
2022-06-03	Denmark	Omicron 21L	4	500.0
2022-06-04	Denmark	Omicron 21L	3	500.0
2022-06-05	Denmark	Omicron 21L	1	500.0
2022-06-06	Denmark	Omicron 21L	5	500.0
2022-06-07	Denmark	Omicron 21L	2	500.0
2022-06-08	Denmark	Omicron 21L	5	500.0
2022-06-09	Denmark	Omicron 21L	8	500.0
2022-06-10	Denmark	Omicron 21L	5	500.0
2022-06-11	Denmark	Omicron 21L	3	500.0
2022-06-12	Denmark	Omicron 21L	4	500.0
2022-06-13	Denmark	Omicron 21L	4	500.0
2022-06-14	Denmark	Omicron 21L	7	500.0
2022-06-15	Denmark	Omicron 21L	5	500.0
2022-06-16	Denmark	Omicron 21L	1	500.0
2022-06-17	Denmark	Omicron 21L	3	500.0
2022-05-01	Denmark	Omicron 22A	1	500.0
2022-05-03	Denmark	Omicron 22A	1	500.0
2022-05-08	Denmark	Omicron 22A	1	500.0
2022-05-10	Denmark	Omicron 22A	1	500.0
2022-05-14	Denmark	Omicron 22A	1	500.0
2022-05-17	Denmark	Omicron 22A	1	500.0
2022-05-18	Denmark	Omicron 22A	1	500.0
2022-05-24	Denmark	Omicron 22A	4	500.0
2022-05-25	Denmark	Omicron 22A	1	500.0
2022-05-26	Denmark	Omicron 22A	1	500.0
2022-05-27	Denmark	Omicron 22A	1	500.0
2022-05-30	Denmark	Omicron 22A	1	500.0
2022-05-31	Denmark	Omicron 22A	1	500.0
2022-06-01	Denmark	Omicron 22A	3	500.0
2022-06-02	Denmark	Omicron 22A	1	500.0
2022-06-03	Denmark	Omicron 22A	1	500.0
2022-06-05	Denmark	Omicron 22A	2	500.0
2022-06-06	Denmark	Omicron 22A	1	500.0
2022-06-09	Denmark	Omicron 22A	2	500.0
2022-06-13	Denmark	Omicron 22A	1	500.0
2022-06-15	Denmark	Omicron 22A	1	500.0
2022-06-17	Denmark	Omicron 22A	1	500.0
2022-05-08	Denmark	Omicron 22B	1	500.0
2022-05-15	Denmark	Omicron 22B	1	500.0
2022-05-17	Denmark	Omicron 22B	1	500.0
2022-05-21	Denmark	Omicron 22B	1	500.0
2022-05-22	Denmark	Omicron 22B	1	500.0
2022-05-23	Denmark	Omicron 22B	2	500.0
2022-05-24	Denmark	Omicron 22B	2	500.0
2022-05-25	Denmark	Omicron 22B	3	500.0
2022-05-27	Denmark	Omicron 22B	2	500.0
2022-05-28	Denmark	Omicron 22B	2	500.0
2022-05-29	Denmark	Omicron 22B	2	500.0
2022-05-30	Denmark	Omicron 22B	2	500.0
2022-05-31	Denmark	Omicron 22B	2	500.0
2022-06-01	Denmark	Omicron 22B	3	500.0
2022-06-02	Denmark	Omicron 22B	1	500.0
2022-06-03	Denmark	Omicron 22B	8	500.0
2022-06-04	Denmark	Omicron 22B	1	500.0
2022-06-05	Denmark	Omicron 22B	3	500.0
2022-06-06	Denmark	Omicron 22B	7	500.0
2022-06-07	Denmark	Omicron 22B	7	500.0
2022-06-08	Denmark	Omicron 22B	6	500.0
2022-06-09	Denmark	Omicron 22B	4	500.0
2022-06-10	Denmark	Omicron 22B	8	500.0
2022-06-11	Denmark	Omicron 22B	5	500.0
2022-06-12	Denmark	Omicron 22B	4	500.0
2022-06-13	Denmark	Omicron 22B	8	500.0
2022-06-14	Denmark	Omicron 22B	7	500.0
2022-06-15	Denmark	Omicron 22B	6	500.0
2022-06-16	Denmark	Omicron 22B	9	500.0
2022-06-17	Denmark	Omicron 22B	12	500.0
2022-05-03	Denmark	Omicron 22C	1	500.0
2022-05-06	Denmark	Omicron 22C	1	500.0
2022-05-15	Denmark	Omicron 22C	1	500.0
2022-05-16	Denmark	Omicron 22C	2	500.0
2022-05-17	Denmark	Omicron 22C	1	500.0
2022-05-18	Denmark	Omicron 22C	1	500.0
2022-05-19	Denmark	Omicron 22C	2	500.0
2022-05-20	Denmark	Omicron 22C	1	500.0
2022-05-22	Denmark	Omicron 22C	1	500.0
2022-05-23	Denmark	Omicron 22C	1	500.0
2022-05-24	Denmark	Omicron 22C	2	500.0
2022-05-25	Denmark	Omicron 22C	3	500.0
2022-05-27	Denmark	Omicron 22C	2	500.0
2022-05-28	Denmark	Omicron 22C	1	500.0
2022-05-29	Denmark	Omicron 22C	1	500.0
2022-05-30	Denmark	Omicron 22C	4	500.0
2022-05-31	Denmark	Omicron 22C	1	500.0
2022-06-05	Denmark	Omicron 22C	1	500.0
2022-06-06	Denmark	Omicron 22C	1	500.0
